Production d��lectricit�;;;;;;;T 8.2.2.1
En GWh;;;;;;;
;;;;;;;
;;;;;;;
;Centrales ;Centrales ;Centrales thermiques classiques;Renouvelables ;Production nationale (brute);;Production nette 
;hydrauliques ;nucl�aires;et centrales chaleur-force;divers 1);;;
;;;;;;;
;;;;;;Pompage ;
;;;;;Total;d�accumulation ;Total 
;;;;;;;
1500;0;0;0;0;0;0;0
1501;0;0;0;0;0;0;0
1502;0;0;0;0;0;0;0
1503;0;0;0;0;0;0;0
1504;0;0;0;0;0;0;0
1505;0;0;0;0;0;0;0
1506;0;0;0;0;0;0;0
1507;0;0;0;0;0;0;0
1508;1;0;0;0;1;0;1
1509;1;0;0;0;1;0;1
1510;1;0;0;0;1;0;1
1511;1;0;0;0;1;0;1
1512;1;0;0;0;1;0;1
1513;1;0;0;0;1;0;1
1514;1;0;0;0;1;0;1
1515;1;0;0;0;1;0;1
1516;1;0;0;0;1;0;1
1517;1;0;0;0;1;0;1
1518;1;0;0;0;1;0;1
1519;1;0;0;0;1;0;1
1520;2;0;0;0;2;0;2
1521;1;0;0;0;1;0;1
1522;1;0;0;0;1;0;1
1523;2;0;0;0;2;0;2
1524;2;0;0;0;2;0;2
1525;2;0;0;0;2;0;2
1526;2;0;0;0;2;0;2
1527;2;0;0;0;2;0;2
1528;2;0;0;0;2;0;2
1529;2;0;0;0;2;0;2
1530;2;0;0;0;2;0;2
1531;2;0;0;0;2;0;2
1532;2;0;0;0;2;0;2
1533;2;0;0;0;2;0;2
1534;2;0;0;0;2;0;2
1535;2;0;0;0;2;0;2
1536;3;0;0;0;3;0;3
1537;3;0;0;0;3;0;3
1538;2;0;0;0;2;0;2
1539;3;0;0;0;3;0;3
1540;3;0;0;0;3;0;3
1541;3;0;0;0;3;0;3
1542;3;0;0;0;3;0;3
1543;3;0;0;0;3;0;3
1544;3;0;0;0;3;0;3
1545;3;0;0;0;3;0;3
1546;3;0;0;0;3;0;3
1547;3;0;0;0;3;0;3
1548;3;0;0;0;3;0;3
1549;4;0;0;0;4;0;4
1550;4;0;0;0;4;0;4
1551;3;0;0;0;3;0;3
1552;4;0;0;0;4;0;4
1553;3;0;0;0;3;0;3
1554;4;0;0;0;4;0;4
1555;4;0;0;0;4;0;4
1556;4;0;0;0;4;0;4
1557;4;0;0;0;4;0;4
1558;4;0;0;0;4;0;4
1559;4;0;0;0;4;0;4
1560;4;0;0;0;4;0;4
1561;4;0;0;0;4;0;4
1562;4;0;0;0;4;0;4
1563;4;0;0;0;4;0;4
1564;4;0;0;0;4;0;4
1565;5;0;0;0;5;0;5
1566;4;0;0;0;4;0;4
1567;5;0;0;0;5;0;5
1568;5;0;0;0;5;0;5
1569;4;0;0;0;4;0;4
1570;5;0;0;0;5;0;5
1571;6;0;0;0;6;0;6
1572;5;0;0;0;5;0;5
1573;5;0;0;0;5;0;5
1574;5;0;0;0;5;0;5
1575;5;0;0;0;5;0;5
1576;5;0;0;0;5;0;5
1577;6;0;0;0;6;0;6
1578;5;0;0;0;5;0;5
1579;5;0;0;0;5;0;5
1580;6;0;0;0;6;0;6
1581;6;0;0;0;6;0;6
1582;6;0;0;0;6;0;6
1583;6;0;0;0;6;0;6
1584;6;0;0;0;6;0;6
1585;6;0;0;0;6;0;6
1586;7;0;0;0;7;0;7
1587;6;0;0;0;6;0;6
1588;6;0;0;0;6;0;6
1589;7;0;0;0;7;0;7
1590;6;0;0;0;6;0;6
1591;6;0;0;0;6;0;6
1592;7;0;0;0;7;0;7
1593;7;0;0;0;7;0;7
1594;6;0;0;0;6;0;6
1595;7;0;0;0;7;0;7
1596;7;0;0;0;7;0;7
1597;7;0;0;0;7;0;7
1598;7;0;0;0;7;0;7
1599;7;0;0;0;7;0;7
1600;7;0;0;0;7;0;7
1601;7;0;0;0;7;0;7
1602;8;0;0;0;8;0;8
1603;7;0;0;0;7;0;7
1604;8;0;0;0;8;0;8
1605;8;0;0;0;8;0;8
1606;8;0;0;0;8;0;8
1607;8;0;0;0;8;0;8
1608;7;0;0;0;7;0;7
1609;7;0;0;0;7;0;7
1610;8;0;0;0;8;0;8
1611;7;0;0;0;7;0;7
1612;8;0;0;0;8;0;8
1613;8;0;0;0;8;0;8
1614;8;0;0;0;8;0;8
1615;8;0;0;0;8;0;8
1616;9;0;0;0;9;0;9
1617;7;0;0;0;7;0;7
1618;8;0;0;0;8;0;8
1619;8;0;0;0;8;0;8
1620;9;0;0;0;9;0;9
1621;8;0;0;0;8;0;8
1622;9;0;0;0;9;0;9
1623;10;0;0;0;10;0;10
1624;10;0;0;0;10;0;10
1625;8;0;0;0;8;0;8
1626;9;0;0;0;9;0;9
1627;9;0;0;0;9;0;9
1628;8;0;0;0;8;0;8
1629;10;0;0;0;10;0;10
1630;10;0;0;0;10;0;10
1631;10;0;0;0;10;0;10
1632;9;0;0;0;9;0;9
1633;8;0;0;0;8;0;8
1634;9;0;0;0;9;0;9
1635;10;0;0;0;10;0;10
1636;9;0;0;0;9;0;9
1637;10;0;0;0;10;0;10
1638;9;0;0;0;9;0;9
1639;9;0;0;0;9;0;9
1640;10;0;0;0;10;0;10
1641;10;0;0;0;10;0;10
1642;10;0;0;0;10;0;10
1643;10;0;0;0;10;0;10
1644;11;0;0;0;11;0;11
1645;9;0;0;0;9;0;9
1646;10;0;0;0;10;0;10
1647;10;0;0;0;10;0;10
1648;11;0;0;0;11;0;11
1649;10;0;0;0;10;0;10
1650;11;0;0;0;11;0;11
1651;12;0;0;0;12;0;12
1652;11;0;0;0;11;0;11
1653;11;0;0;0;11;0;11
1654;12;0;0;0;12;0;12
1655;11;0;0;0;11;0;11
1656;11;0;0;0;11;0;11
1657;12;0;0;0;12;0;12
1658;11;0;0;0;11;0;11
1659;11;0;0;0;11;0;11
1660;13;0;0;0;13;0;13
1661;11;0;0;0;11;0;11
1662;12;0;0;0;12;0;12
1663;12;0;0;0;12;0;12
1664;12;0;0;0;12;0;12
1665;12;0;0;0;12;0;12
1666;12;0;0;0;12;0;12
1667;11;0;0;0;11;0;11
