annee,hydrauliques,nucleaires,thermiques,renouvelables,production_nationale_brute,pompage,production_nette
1500,0,0,0,0,0,0,0
1501,0,0,0,0,0,0,0
1502,0,0,0,0,0,0,0
1503,0,0,0,0,0,0,0
1504,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,0
1506,0,0,0,0,0,0,0
1507,0,0,0,0,0,0,0
1508,1,0,0,0,1,0,1
1509,1,0,0,0,1,0,1
1510,1,0,0,0,1,0,1
1511,1,0,0,0,1,0,1
1512,1,0,0,0,1,0,1
1513,1,0,0,0,1,0,1
1514,1,0,0,0,1,0,1
1515,1,0,0,0,1,0,1
1516,1,0,0,0,1,0,1
1517,1,0,0,0,1,0,1
1518,1,0,0,0,1,0,1
1519,1,0,0,0,1,0,1
1520,2,0,0,0,2,0,2
1521,1,0,0,0,1,0,1
1522,1,0,0,0,1,0,1
1523,2,0,0,0,2,0,2
1524,2,0,0,0,2,0,2
1525,2,0,0,0,2,0,2
1526,2,0,0,0,2,0,2
1527,2,0,0,0,2,0,2
1528,2,0,0,0,2,0,2
1529,2,0,0,0,2,0,2
1530,2,0,0,0,2,0,2
1531,2,0,0,0,2,0,2
1532,2,0,0,0,2,0,2
1533,2,0,0,0,2,0,2
1534,2,0,0,0,2,0,2
1535,2,0,0,0,2,0,2
1536,3,0,0,0,3,0,3
1537,3,0,0,0,3,0,3
1538,2,0,0,0,2,0,2
1539,3,0,0,0,3,0,3
1540,3,0,0,0,3,0,3
1541,3,0,0,0,3,0,3
1542,3,0,0,0,3,0,3
1543,3,0,0,0,3,0,3
1544,3,0,0,0,3,0,3
1545,3,0,0,0,3,0,3
1546,3,0,0,0,3,0,3
1547,3,0,0,0,3,0,3
1548,3,0,0,0,3,0,3
1549,4,0,0,0,4,0,4
1550,4,0,0,0,4,0,4
1551,3,0,0,0,3,0,3
1552,4,0,0,0,4,0,4
1553,3,0,0,0,3,0,3
1554,4,0,0,0,4,0,4
1555,4,0,0,0,4,0,4
1556,4,0,0,0,4,0,4
1557,4,0,0,0,4,0,4
1558,4,0,0,0,4,0,4
1559,4,0,0,0,4,0,4
1560,4,0,0,0,4,0,4
1561,4,0,0,0,4,0,4
1562,4,0,0,0,4,0,4
1563,4,0,0,0,4,0,4
1564,4,0,0,0,4,0,4
1565,5,0,0,0,5,0,5
1566,4,0,0,0,4,0,4
1567,5,0,0,0,5,0,5
1568,5,0,0,0,5,0,5
1569,4,0,0,0,4,0,4
1570,5,0,0,0,5,0,5
1571,6,0,0,0,6,0,6
1572,5,0,0,0,5,0,5
1573,5,0,0,0,5,0,5
1574,5,0,0,0,5,0,5
